web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,image_labels,REPLACED_LABELS,Ambience attributes,Human/ facial attributes,Objects/ animals,Product attributes,goal,Raised,people,time,updates,updates-href,createdby,today,no of days,shares
1543713822-1864,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-recover-ryans-dj-business,https://d2g8igdw686xgo.cloudfront.net/21874094_1498672241.404.jpg,loudspeaker sound technology audio flooring electronic device subwoofer audio equipment floor electronics,loudspeaker sound technology audio flooring electronic device subwoofer audio equipment floor electronics,0.008064516,0.008064516,0.008064516,0.975806452,3000,1190,21,Raised by 21 people in 17 months,0,,6/28/17,12/5/18,524,196
1543712033-1197,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/start-up-a-business-computers,https://d2g8igdw686xgo.cloudfront.net/33415406_1538445343746759_r.jpeg,technology electronic device display device screen computer hardware multimedia personal computer electronics computer monitor gadget,technology electronic device display device screen computer hardware multimedia  people al computer electronics computer monitor gadget,0.006493506,0.006493506,0.006493506,0.980519481,2500,0,0,Campaign created 2 months ago,0,,10/1/18,12/5/18,64,0
1543713702-1820,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-build-a-small-business,https://d2g8igdw686xgo.cloudfront.net/28753842_15234898650_r.jpg,family friendship pattern fun, people  friendship pattern fun,0.704545455,0.022727273,0.022727273,0.25,1000,980,29,Raised by 29 people in 8 months,   5,https://www.gofundme.com/help-build-a-small-business#updates,3/30/18,12/5/18,249,317
1543711888-1141,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/business-startup-for-a-job-i-love,https://d2g8igdw686xgo.cloudfront.net/27848432_1519071122.5395.jpg,text pink font purple beauty violet magenta logo product brand,text pink font purple beauty violet magenta logo product brand,0.009615385,0.105769231,0.009615385,0.875,5080,0,0,Campaign created 9 months ago,   1,https://www.gofundme.com/business-startup-for-a-job-i-love#updates,2/19/18,12/5/18,288,0
1543711996-1182,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-jump-start-new-tech-business,https://d2g8igdw686xgo.cloudfront.net/31409440_1531868198754737_r.jpeg,hair face eyebrow glasses nose vision care head hairstyle lip forehead, _people  face  people  glasses  people  vision  vehicle e  people   _people style  people   people ,0.00877193,0.973684211,0.00877193,0.00877193,1100,0,0,Campaign created 4 months ago,0,,7/17/18,12/5/18,140,0
1543712623-1421,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/ew8ye-support-small-business,https://d2g8igdw686xgo.cloudfront.net/28320434_15207981030_r.jpeg,candle table lighting centrepiece decor christmas decoration interior design,candle table lighting centrepiece decor christmas decoration interior design,0.329787234,0.010638298,0.010638298,0.64893617,1500,175,3,Raised by 3 people in 8 months,0,,3/11/18,12/5/18,268,116
1543713843-1872,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5u7qay0,https://d2g8igdw686xgo.cloudfront.net/31462578_1532025852971652_r.jpg,product hardware angle hardware accessory steel,product hardware angle hardware accessory steel,0.015625,0.015625,0.015625,0.953125,635,102,8,Raised by 8 people in 4 months,   1,https://www.gofundme.com/5u7qay0#updates,7/19/18,12/5/18,138,96
1543713436-1719,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/move-gt-eire-paunfinished-business,https://d2g8igdw686xgo.cloudfront.net/29760646_15258767700_r.jpeg,glasses vision care human behavior facial hair eyewear,glasses vision  vehicle e  people  behavior  people   _people   glasses ,0.011904762,0.964285714,0.011904762,0.011904762,2800,2013,21,Raised by 21 people in 6 months,   54,https://www.gofundme.com/move-gt-eire-paunfinished-business#updates,5/9/18,12/5/18,209,128
1543713929-1904,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-billy-dixon-keep-his-business,https://d2g8igdw686xgo.cloudfront.net/32036886_1533892249698748_r.jpeg,land vehicle bicycle motor vehicle vehicle road bicycle mode of transport transport plant bicycle accessory tree,land vehicle bicycle motor vehicle vehicle road bicycle mode of transport transport plant bicycle accessory tree,0.136363636,0.006493506,0.850649351,0.006493506,635,2523,114,Raised by 114 people in 3 months,   2,https://www.gofundme.com/help-billy-dixon-keep-his-business#updates,8/10/18,12/5/18,116,576
1543712149-1244,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/lifebusiness-help,https://d2g8igdw686xgo.cloudfront.net/29434722_15247469920_r.jpeg,crochet bag cobalt blue product handbag knitting woolen pattern electric blue,crochet bag cobalt blue product handbag knitting woolen pattern electric blue,0.00877193,0.00877193,0.00877193,0.973684211,10000,0,0,Campaign created 7 months ago,0,,4/26/18,12/5/18,222,0
1543713449-1724,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/our-first-la-business-trip,https://d2g8igdw686xgo.cloudfront.net/24722770_1508249294.8904.jpg,product smile student friendship girl car,product  people  student friendship  people   vehicle ,0.796875,0.015625,0.171875,0.015625,800,680,12,Raised by 12 people in 13 months,   7,https://www.gofundme.com/our-first-la-business-trip#updates,10/17/17,12/5/18,413,22
1543711618-1051,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/7zukhb-jamie-fund,https://d2g8igdw686xgo.cloudfront.net/34233034_1542044775629237_r.jpeg,tree fun grass arm vacation recreation smile plant,tree fun grass arm vacation recreation  people  plant,0.845238095,0.130952381,0.011904762,0.011904762,25000,12143,199,Raised by 199 people in 19 days,   1,https://www.gofundme.com/7zukhb-jamie-fund#updates,11/12/18,12/5/18,22,502
1543713212-1640,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5e5dfe8,https://d2g8igdw686xgo.cloudfront.net/29058076_1528727929637760_r.jpg,hair purple human hair color pink hairstyle black hair bangs hair coloring long hair girl, _people  purple  people   _people  color pink  _people style black  _people  bangs  _people  coloring long  _people   people ,0.006493506,0.980519481,0.006493506,0.006493506,1500,1000,35,Raised by 35 people in 7 months,0,,4/11/18,12/5/18,237,155
1543712720-1458,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5ng1u0w,https://d2g8igdw686xgo.cloudfront.net/30449488_1530089672994241_r.jpg,sky text cloud water resources geological phenomenon atmosphere water wave ocean sea,sky text cloud water resources geological phenomenon atmosphere water wave ocean sea,0.653225806,0.008064516,0.25,0.088709677,2095,292,15,Raised by 15 people in 5 months,0,,6/7/18,12/5/18,180,172
1543712226-1273,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/vkrqh-mother-trying-to-start-a-business,https://d2g8igdw686xgo.cloudfront.net/26955130_1515950226.5369.jpg,blue painting art modern art watercolor paint portrait paint picture frame artwork drawing,blue painting art modern art watercolor paint portrait paint picture frame artwork drawing,0.007462687,0.082089552,0.007462687,0.902985075,1000,25,1,Raised by 1 person in 10 months,   1,https://www.gofundme.com/vkrqh-mother-trying-to-start-a-business#updates,1/14/18,12/5/18,324,10
1543711551-1027,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/78vrke-help-get-mum-home,https://d2g8igdw686xgo.cloudfront.net/34880104_1543343152499103_r.jpeg,green text aqua font line grass pattern angle rectangle brand,green text aqua font line grass pattern angle rectangle brand,0.009615385,0.009615385,0.009615385,0.971153846,1270,2078,57,Raised by 57 people in 4 days,0,,11/27/18,12/5/18,7,162
1543711603-1045,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/elsa-garcia-contra-el-cancer,https://d2g8igdw686xgo.cloudfront.net/23898544_1531835139123518_r.jpg,girl, people ,0.071428571,0.785714286,0.071428571,0.071428571,30000,8595,170,Raised by 170 people in 14 months,   3,https://www.gofundme.com/elsa-garcia-contra-el-cancer#updates,9/14/17,12/5/18,446,717
1543712217-1269,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/cosmetic-business-relaunch,https://d2g8igdw686xgo.cloudfront.net/33229010_1537819957532372_r.jpeg,condiment canning,condiment canning,0.041666667,0.041666667,0.041666667,0.875,4000,5,1,Raised by 1 person in 2 months,0,,9/24/18,12/5/18,71,7
1543713918-1900,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/wynnbaudoux-housebusiness-fire,https://d2g8igdw686xgo.cloudfront.net/30417492_15283006640_r.jpeg,nose interaction child girl headgear cap kiss beanie product hug, people  interaction  people   people   people gear cap kiss beanie product hug,0.009615385,0.875,0.009615385,0.105769231,5000,2240,29,Raised by 29 people in 5 months,0,,6/6/18,12/5/18,181,229
1543712141-1241,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/58r1yr4,https://d2g8igdw686xgo.cloudfront.net/28250204_1537163007951611_r.jpeg,yellow orange text font product circle logo line wheel graphics,yellow orange text font product circle logo line wheel graphics,0.009615385,0.009615385,0.009615385,0.971153846,100000,0,0,Campaign created 2 months ago,0,,9/17/18,12/5/18,78,0
1543713207-1638,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/4xyve0g,https://d2g8igdw686xgo.cloudfront.net/26636348_15148542560_r.jpg,wall town architecture house facade area advertising building sky window,wall town architecture house facade area advertising building sky window,0.971153846,0.009615385,0.009615385,0.009615385,35000,960,11,Raised by 11 people in 11 months,0,,1/1/18,12/5/18,337,166
1543713072-1586,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-with-family-owned-business,https://d2g8igdw686xgo.cloudfront.net/33244626_1537873611932433_r.jpeg,fire mode of transport tree night lighting geological phenomenon evening campfire landscape grass,fire mode of transport tree night lighting geological phenomenon evening campfire landscape grass,0.572580645,0.008064516,0.411290323,0.008064516,75000,695,9,Raised by 9 people in 2 months,   1,https://www.gofundme.com/help-with-family-owned-business#updates,9/25/18,12/5/18,70,150
1543713739-1833,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/my-mother-lost-her-business-amp-dog,https://d2g8igdw686xgo.cloudfront.net/29336680_15245860900_r.jpg,event pub fire night,event pub fire night,0.477272727,0.022727273,0.477272727,0.022727273,7500,9942,98,Raised by 98 people in 7 months,   3,https://www.gofundme.com/my-mother-lost-her-business-amp-dog#updates,4/22/18,12/5/18,226,351
1543711668-1067,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/leah-stodieck,https://d2g8igdw686xgo.cloudfront.net/34843516_1543352615433437_r.jpeg,skin health care service girl hospital clinic medical assistant,skin health  vehicle e service  people  hospital clinic medical assistant,0.010638298,0.329787234,0.64893617,0.010638298,10000,13765,150,Raised by 150 people in 5 days,0,,11/26/18,12/5/18,8,823
1543712370-1322,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/8pn83q-help-me-make-my-dream-come-true,,#N/A,#N/A, , , , ,635 M,83,5,Raised by 5 people in 5 months,0,,6/8/18,12/5/18,179,645
1543713656-1802,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/wx4ysq-women-in-business,https://d2g8igdw686xgo.cloudfront.net/20856376_1496355307.193.jpg,hair face eyebrow human hair color hairstyle blond nose chin head smile, _people  face  people   people   _people  color  _people style blond  people   people   people   people ,0.008064516,0.975806452,0.008064516,0.008064516,3100,2625,22,Raised by 22 people in 18 months,   10,https://www.gofundme.com/wx4ysq-women-in-business#updates,6/1/17,12/5/18,551,306
1543711910-1149,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5fsz52g,https://d2g8igdw686xgo.cloudfront.net/29305874_15243432760_r.jpg,street sign text sky signage sign product advertising font line logo,street sign text sky signage sign product advertising font line logo,0.096491228,0.00877193,0.00877193,0.885964912,5000,0,0,Campaign created 7 months ago,0,,4/21/18,12/5/18,227,8
1543712568-1400,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/9pyxd-help-a-small-business-grow,https://d2g8igdw686xgo.cloudfront.net/34179622_1541154979974301_r.jpeg,blue text mammal vertebrate cartoon smile font emotion human behavior organism,blue text mammal vertebrate  vehicle toon  people  font emotion  people  behavior organism,0.00877193,0.447368421,0.184210526,0.359649123,508,86,6,Raised by 6 people in 29 days,0,,11/2/18,12/5/18,32,18
1543713669-1807,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/local-east-hill-business-vandalized,https://d2g8igdw686xgo.cloudfront.net/31428456_1531931406967959_r.jpeg,advertising window technology,advertising window technology,0.323529412,0.029411765,0.029411765,0.617647059,1200,345,7,Raised by 7 people in 4 months,   1,https://www.gofundme.com/local-east-hill-business-vandalized#updates,7/18/18,12/5/18,139,41
1543713582-1774,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/we-were-just-robbed-please-help,https://d2g8igdw686xgo.cloudfront.net/30514048_1528671009156344_r.jpeg,mode of transport wood floor screenshot,mode of transport wood floor screenshot,0.574074074,0.018518519,0.388888889,0.018518519,15000,5195,29,Raised by 29 people in 5 months,   1,https://www.gofundme.com/we-were-just-robbed-please-help#updates,6/10/18,12/5/18,177,150
1543712941-1540,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/53wu408,https://d2g8igdw686xgo.cloudfront.net/27525898_15215978290_r.jpg,hair eyebrow human hair color blond chin hairstyle forehead cheek girl selfie, _people   people   people   _people  color blond  people   _people style  people   people   people  selfie,0.008064516,0.975806452,0.008064516,0.008064516,4000,4000,23,Raised by 23 people in 9 months,   8,https://www.gofundme.com/53wu408#updates,2/5/18,12/5/18,302,136
1543713220-1643,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/women-in-business-philanthropy,https://d2g8igdw686xgo.cloudfront.net/33908340_1540162831582801_r.jpeg,text font logo product brand graphics product,text font logo product brand graphics product,0.148648649,0.013513514,0.013513514,0.824324324,500,320,8,Raised by 8 people in 1 month,0,,10/21/18,12/5/18,44,36
1543712167-1250,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/9jaf38-woodworking-business,https://d2g8igdw686xgo.cloudfront.net/33871664_1539979639716897_r.jpeg,headgear hat fashion accessory fedora facial hair grass cowboy hat beard tree, people gear hat fashion accessory fedora  people   _people  grass cowboy hat beard tree,0.169354839,0.814516129,0.008064516,0.008064516,5000,0,0,Campaign created 1 month ago,   4,https://www.gofundme.com/9jaf38-woodworking-business#updates,10/19/18,12/5/18,46,21
1543713574-1771,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/replacing-stolen-business-items,https://d2g8igdw686xgo.cloudfront.net/29538722_15251169690_r.jpeg,function hall party recreation,function hall party recreation,0.931818182,0.022727273,0.022727273,0.022727273,745,275,6,Raised by 6 people in 7 months,0,,4/30/18,12/5/18,218,53
1543713136-1612,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/fawnsroute,https://d2g8igdw686xgo.cloudfront.net/27376712_1517420982.5024.jpg,vehicle travel trailer home trailer house product shed recreational vehicle,vehicle travel trailer home trailer house product shed recreational vehicle,0.490384615,0.009615385,0.490384615,0.009615385,2500,155,4,Raised by 4 people in 10 months,0,,1/30/18,12/5/18,308,79
1543711904-1147,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/klou202-gmail-com,https://d2g8igdw686xgo.cloudfront.net/29283692_15242075130_r.jpeg,pink wall home interior design furniture picture frame flower window floristry flower arranging,pink wall home interior design furniture picture frame flower window floristry flower arranging,0.529850746,0.007462687,0.007462687,0.455223881,1270,0,0,Campaign created 7 months ago,   1,https://www.gofundme.com/klou202-gmail-com#updates,4/20/18,12/5/18,228,0
1543713335-1681,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/starting-a-business-bsns-training,https://d2g8igdw686xgo.cloudfront.net/23457160_1504121716.7964.jpg,beauty shoulder smile outerwear girl white collar worker neck,beauty shoulder  people  outerwear  people  white collar worker neck,0.010638298,0.968085106,0.010638298,0.010638298,7000,1515,16,Raised by 16 people in 15 months,0,,8/30/17,12/5/18,461,130
1543711900-1145,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/SchEntPrisesGrp,,#N/A,#N/A, , , , ,20000,0,0,Campaign created 8 months ago,0,,3/27/18,12/5/18,252,66
1543713289-1665,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/w237z-business-start-up,https://d2g8igdw686xgo.cloudfront.net/34937154_1543450736326011_r.jpeg,eyebrow face lip pink human hair color cheek nose forehead hairstyle eyelash, people  face  people  pink  people   _people  color  people   people   people   _people style eyelash,0.008064516,0.975806452,0.008064516,0.008064516,500,180,7,Raised by 7 people in 3 days,   1,https://www.gofundme.com/w237z-business-start-up#updates,11/28/18,12/5/18,6,20
1543712829-1499,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/a9dzcr-pavels-business-school-fund,https://d2g8igdw686xgo.cloudfront.net/28712274_1522260899.8598.jpg,chin forehead neck jaw, people   people  neck jaw,0.022727273,0.931818182,0.022727273,0.022727273,68000,12353,53,Raised by 53 people in 8 months,0,,3/28/18,12/5/18,251,35
1543712116-1231,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/dr-ks-business-card-fund,https://d2g8igdw686xgo.cloudfront.net/35009864_1543691818964569_r.jpeg,eyebrow face lip nose chin human hair color cheek selfie head forehead, people  face  people   people   people   people   _people  color  people  selfie  people   people ,0.008064516,0.975806452,0.008064516,0.008064516,50,0,0,Campaign created 5 hours ago,0,,12/1/18,12/5/18,3,0
1543712156-1245,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5gxqo68,https://d2g8igdw686xgo.cloudfront.net/29475352_15248944200_r.jpg,land vehicle vehicle transport trailer product automotive exterior plant community,land vehicle vehicle transport trailer product automotive exterior plant community,0.298076923,0.009615385,0.682692308,0.009615385,30000,0,0,Campaign created 7 months ago,   1,https://www.gofundme.com/5gxqo68#updates,4/27/18,12/5/18,221,20
1543711940-1161,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/27fx8-starting-my-own-business,https://d2g8igdw686xgo.cloudfront.net/29419548_15246921230_r.jpeg,pink text font petal computer wallpaper logo graphics brand,pink text font petal computer wallpaper logo graphics brand,0.117021277,0.010638298,0.010638298,0.861702128,25000,0,0,Campaign created 7 months ago,0,,4/25/18,12/5/18,223,0
1543712964-1548,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/belfast-local-business-support,https://d2g8igdw686xgo.cloudfront.net/22610810_1501270585.1552.jpg,floor vehicle scrap flooring roof,floor vehicle scrap flooring roof,0.574074074,0.018518519,0.388888889,0.018518519,5080,508,22,Raised by 22 people in 16 months,   2,https://www.gofundme.com/belfast-local-business-support#updates,7/28/17,12/5/18,494,142
1543713898-1893,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/reliable-business-vehicle-for-cons,https://d2g8igdw686xgo.cloudfront.net/34358042_1541737175140380_r.jpeg,retail outlet store product,retail outlet store product,0.022727273,0.022727273,0.022727273,0.931818182,1835,985,34,Raised by 34 people in 22 days,   10,https://www.gofundme.com/reliable-business-vehicle-for-cons#updates,11/8/18,12/5/18,26,309
1543711978-1175,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5qqrb-business,https://d2g8igdw686xgo.cloudfront.net/30651620_1529184272386004_r.jpeg,flower plant flowering plant tulip petal wildflower spring seed plant annual plant plant stem,flower plant flowering plant tu people  petal wildflower spring seed plant annual plant plant stem,0.979166667,0.006944444,0.006944444,0.006944444,1000,0,0,Campaign created 5 months ago,0,,6/16/18,12/5/18,171,0
1543712264-1287,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/h2p8eu-business-start-up,https://d2g8igdw686xgo.cloudfront.net/35002506_1543660409911147_r.jpeg,text white font logo black and white line design area calligraphy brand,text white font logo black and white line design area calligraphy brand,0.00877193,0.00877193,0.00877193,0.973684211,1000,100,1,Raised by 1 person in 14 hours,0,,12/1/18,12/5/18,3,15
1543712603-1413,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/Help-Jazzy-Start-A-Salon-Suite-Business,https://d2g8igdw686xgo.cloudfront.net/27075070_15210545270_r.jpg,black photography black and white hand girl arm human body black hair muscle darkness,black photography black and white hand  people  arm  people  body black  _people  muscle darkness,0.007462687,0.828358209,0.007462687,0.156716418,7000,925,18,Raised by 18 people in 10 months,   7,https://www.gofundme.com/Help-Jazzy-Start-A-Salon-Suite-Business#updates,1/18/18,12/5/18,320,122
1543713322-1676,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/maltyandhoppy,https://d2g8igdw686xgo.cloudfront.net/24842964_1510244293.6781.jpg,scarf fun outerwear smile senior citizen glasses textile friendship girl vision care,s vehicle f fun outerwear  people  senior citizen glasses textile friendship  people  vision  vehicle e,0.25,0.733870968,0.008064516,0.008064516,10000,2665,47,Raised by 47 people in 13 months,   2,https://www.gofundme.com/maltyandhoppy#updates,10/22/17,12/5/18,408,135
